CustomerID,Age,TenureMonths,MonthlyFee,TotalSpent,PlanType,Region,PaymentMethod,DeviceCount,StreamingHours,SupportTickets,AutoPay,FamilyPlan,Churn
SP-000001,23,50,11.49,595.6,Basic,East,PayPal,1,10.4,0,Yes,Yes,No
SP-000002,62,7,11.16,80.47,Basic,East,PayPal,1,68.7,1,Yes,No,Yes
SP-000003,55,54,16.07,888.27,Standard,North,Mobile Wallet,1,28.4,2,Yes,Yes,No
SP-000004,43,7,16.27,179.45,Basic,West,Credit Card,4,64.4,1,No,No,No
SP-000005,42,3,10.85,98.8,Basic,South,Debit Card,5,29.2,0,Yes,Yes,No
SP-000006,66,8,11.38,0.0,Standard,West,PayPal,2,1.7,0,Yes,No,No
SP-000007,22,33,15.15,551.28,Standard,North,PayPal,4,68.4,1,Yes,Yes,Yes
SP-000008,57,44,9.68,455.75,Premium,East,Mobile Wallet,2,38.0,1,Yes,Yes,No
SP-000009,29,29,11.35,331.3,Basic,North,Mobile Wallet,3,22.2,1,No,No,Yes
SP-000010,23,8,13.35,209.55,Standard,West,PayPal,2,4.4,1,No,No,Yes
SP-000011,48,14,16.97,342.75,Basic,East,Bank Transfer,5,40.8,0,Yes,Yes,No
SP-000012,73,61,10.57,699.05,Basic,North,Credit Card,3,29.0,0,Yes,No,No
SP-000013,59,69,5.62,355.17,Standard,North,Bank Transfer,3,81.0,0,No,Yes,No
SP-000014,61,54,5.32,215.73,Basic,South,Credit Card,5,60.4,1,Yes,Yes,No
SP-000015,58,7,7.95,100.91,Standard,North,Debit Card,4,63.2,0,Yes,Yes,No
SP-000016,62,59,7.74,538.23,Basic,North,Credit Card,1,25.6,1,No,No,No
SP-000017,47,49,12.37,484.41,Basic,West,Debit Card,1,24.8,1,Yes,No,No
SP-000018,25,37,8.23,369.69,Premium,West,Credit Card,2,29.2,0,Yes,Yes,No
SP-000019,65,10,10.18,86.51,Basic,East,Credit Card,1,13.1,1,No,No,No
SP-000020,43,71,9.89,593.65,Standard,West,PayPal,4,22.7,1,Yes,Yes,No
SP-000021,46,31,11.23,376.29,Basic,East,PayPal,3,19.5,0,Yes,Yes,No
SP-000022,39,3,18.28,109.4,Premium,North,Credit Card,1,48.4,0,No,No,No
SP-000023,28,15,15.64,213.52,Basic,East,PayPal,3,54.9,0,Yes,No,No
SP-000024,70,28,13.05,301.96,Basic,North,Credit Card,5,34.8,0,Yes,No,Yes
SP-000025,62,4,11.15,147.33,Standard,West,Credit Card,5,11.4,0,No,Yes,No
SP-000026,54,23,11.26,218.86,Basic,South,Credit Card,5,71.2,0,No,Yes,No
SP-000027,40,33,14.3,541.47,Basic,North,Debit Card,5,40.7,1,No,No,No
SP-000028,64,68,15.33,951.66,Premium,South,PayPal,4,27.8,1,Yes,No,No
SP-000029,49,6,9.36,81.12,Standard,East,Debit Card,5,32.6,1,Yes,No,No
SP-000030,43,41,13.14,561.99,Standard,West,PayPal,5,6.7,0,No,Yes,Yes
SP-000031,43,65,4.99,376.75,Standard,East,Debit Card,4,19.5,0,Yes,No,No
SP-000032,30,58,13.84,892.3,Premium,North,PayPal,3,51.1,0,No,Yes,No
SP-000033,23,66,16.04,1009.82,Premium,West,Bank Transfer,5,6.4,0,Yes,No,No
SP-000034,49,12,11.87,173.69,Standard,West,Credit Card,3,6.3,0,Yes,No,No
SP-000035,68,57,20.26,1072.83,Basic,South,Credit Card,1,40.8,1,No,Yes,No
SP-000036,21,70,9.47,580.23,Basic,East,Credit Card,1,31.1,1,No,No,No
SP-000037,66,23,13.86,284.08,Standard,West,Debit Card,3,6.5,0,Yes,No,No
SP-000038,65,35,12.85,474.31,Premium,South,Debit Card,1,18.2,0,Yes,No,No
SP-000039,33,38,12.59,579.03,Standard,North,Credit Card,1,27.8,0,No,No,Yes
SP-000040,54,35,12.53,550.09,Basic,North,Mobile Wallet,2,25.6,1,No,No,No
SP-000041,27,20,13.42,247.11,Basic,East,Bank Transfer,3,29.4,1,Yes,Yes,No
